Device,Last 3 months Clicks,Same period last year Clicks,Last 3 months Impressions,Same period last year Impressions,Last 3 months CTR,Same period last year CTR,Last 3 months Position,Same period last year Position
Desktop,117,819,11919,23717,0.98%,3.45%,16.15,24.54
Mobile,98,432,9408,17304,1.04%,2.5%,11.61,20.26
Tablet,5,30,308,494,1.62%,6.07%,7.22,6.39
